Method,Name,Error,Occurrences
POST,/test_index.html,"ConnectionRefusedError(10061, '[WinError 10061] No connection could be made because the target machine actively refused it.')",167
GET,/index.html,"ConnectionRefusedError(10061, '[WinError 10061] No connection could be made because the target machine actively refused it.')",184
